City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Arraial do Cabo,84,BR,1599895285,90,-22.97,-42.03,22.01,11.17
1,Huarmey,75,PE,1599895410,85,-10.07,-78.15,15.44,1.57
2,Albany,0,US,1599895082,81,42.6,-73.97,10.0,1.22
3,Glendive,1,US,1599895357,87,47.11,-104.71,9.0,2.6
4,Sechura,13,PE,1599895730,82,-5.56,-80.82,16.57,3.53
5,Krasnosel'kup,5,RU,1599895405,54,65.7,82.47,17.94,6.8
6,Ushuaia,75,AR,1599895202,65,-54.8,-68.3,5.0,2.1
7,Mataura,100,NZ,1599895661,58,-46.19,168.86,12.78,4.02
8,Suntar,100,RU,1599895731,68,62.14,117.63,14.62,0.27
9,Ulaanbaatar,75,MN,1599895731,81,47.91,106.88,11.0,1.0
10,Busselton,46,AU,1599895289,44,-33.65,115.33,18.89,4.43
11,Hasaki,75,JP,1599895326,100,35.73,140.83,23.0,1.0
12,Maryville,1,US,1599895481,94,35.76,-83.97,23.89,0.74
13,Kuala Terengganu,40,MY,1599895732,70,5.33,103.14,32.0,2.6
14,Avarua,0,CK,1599895306,94,-21.21,-159.78,25.0,1.5
15,Cape Town,100,ZA,1599895215,82,-33.93,18.42,17.22,3.1
16,Ponta Delgada,40,PT,1599895733,72,37.73,-25.67,20.0,2.1
17,Tual,0,ID,1599895733,80,-5.67,132.75,26.41,7.57
18,Chokurdakh,0,RU,1599895284,51,70.63,147.92,13.73,0.73
19,Skjervøy,100,NO,1599895734,69,70.03,20.97,10.2,3.68
20,Atuona,33,PF,1599895289,75,-9.8,-139.03,26.03,9.66
21,Arinos,0,BR,1599895734,39,-15.92,-46.11,15.14,0.58
22,Aberdeen,40,GB,1599895545,76,57.14,-2.1,10.0,2.6
23,Klaksvík,95,FO,1599895735,76,62.23,-6.59,10.0,7.7
24,Puerto Ayora,78,EC,1599895284,91,-0.74,-90.35,19.44,3.58
25,Narsaq,0,GL,1599895361,43,60.92,-46.05,1.0,2.6
26,Bathsheba,0,BB,1599895288,88,13.22,-59.52,24.0,2.1
27,Port Elizabeth,20,ZA,1599895249,93,-33.92,25.57,18.0,6.2
28,Lavrentiya,78,RU,1599895736,70,65.58,-171.0,7.36,2.19
29,Cabedelo,40,BR,1599895692,94,-6.98,-34.83,21.0,2.6
30,Cherskiy,61,RU,1599895078,67,68.75,161.3,8.57,1.61
31,Rikitea,93,PF,1599895282,89,-23.12,-134.97,22.85,3.26
32,Coleraine,20,GB,1599895685,87,55.13,-6.67,11.0,8.2
33,Kapaa,75,US,1599895287,74,22.08,-159.32,27.0,7.2
34,Bontang,92,ID,1599895737,76,0.13,117.5,28.43,2.71
35,Bijapur,99,IN,1599895737,65,16.83,75.7,28.65,5.92
36,Vaini,40,TO,1599895294,83,-21.2,-175.2,21.0,4.1
37,Goundam,71,ML,1599895737,50,16.41,-3.67,30.67,4.9
38,Carnarvon,2,AU,1599895306,43,-24.87,113.63,23.0,12.3
39,Lagoa,0,PT,1599895374,79,39.05,-27.98,21.26,3.5
40,Port Lincoln,100,AU,1599895315,92,-34.73,135.87,12.36,4.9
41,Touros,40,BR,1599895415,88,-5.2,-35.46,22.0,2.6
42,Khasan,100,RU,1599895738,89,42.43,130.64,16.74,0.95
43,Kavieng,28,PG,1599895292,68,-2.57,150.8,29.63,3.7
44,Elk Point,90,US,1599895739,100,42.68,-96.68,13.0,1.5
45,Xalapa,100,MX,1599895739,90,19.53,-96.92,16.22,2.15
46,Yenagoa,100,NG,1599895385,92,4.92,6.26,24.25,1.68
47,Namatanai,24,PG,1599895327,80,-3.67,152.43,28.16,4.53
48,Belaya Gora,0,RU,1599895740,43,68.53,146.42,15.46,1.11
49,Havøysund,86,NO,1599895740,62,71.0,24.66,11.0,3.6
50,Burnie,100,AU,1599895354,81,-41.07,145.92,11.11,1.79
51,Porto-Novo,40,BJ,1599895051,88,6.5,2.6,26.0,5.1
52,Bluff,100,NZ,1599895290,58,-46.6,168.33,12.78,4.02
53,Palafrugell,100,ES,1599895741,48,41.92,3.16,22.78,2.49
54,Bredasdorp,67,ZA,1599895314,82,-34.53,20.04,16.0,0.5
55,Basco,10,PH,1599895321,70,20.45,121.97,29.7,4.54
56,Hithadhoo,0,MV,1599895666,77,-0.6,73.08,27.85,4.75
57,East London,20,ZA,1599895277,88,-33.02,27.91,19.0,5.1
58,Clyde River,1,CA,1599895319,92,70.47,-68.59,-2.0,1.0
59,Yellowknife,20,CA,1599895294,86,62.46,-114.35,4.0,4.1
60,Berdigestyakh,96,RU,1599895743,64,62.1,126.7,15.63,0.26
61,Pisco,90,PE,1599895342,87,-13.7,-76.22,16.0,2.6
62,Santa Maria,100,BR,1599895743,93,-29.68,-53.81,17.96,4.78
63,Izumo,75,JP,1599895743,100,35.37,132.77,23.0,4.1
64,Cabo Rojo,100,PR,1599895743,96,18.09,-67.15,25.56,1.34
65,Port Alfred,83,ZA,1599895300,69,-33.59,26.89,21.21,12.21
66,Castro,82,BR,1599895239,51,-24.79,-50.01,18.56,1.39
67,Nshamba,75,TZ,1599895744,83,-1.8,31.55,21.0,4.48
68,Kangaba,100,ML,1599895744,95,11.93,-8.42,21.6,1.32
69,Kedrovyy,91,RU,1599895300,54,56.17,91.82,14.0,1.0
70,Barrow,90,US,1599895306,87,71.29,-156.79,0.0,2.6
71,Turukhansk,100,RU,1599895745,84,65.82,87.98,14.67,5.72
72,Isangel,90,VU,1599895320,69,-19.55,169.27,24.0,5.1
73,Richards Bay,3,ZA,1599895364,63,-28.78,32.04,22.65,4.19
74,Airai,62,TL,1599895329,46,-8.93,125.41,22.8,2.87
75,Manavālakurichi,75,IN,1599895746,74,8.13,77.3,31.0,1.5
76,Hermanus,57,ZA,1599895300,78,-34.42,19.23,18.89,0.45
77,Rio Rancho,0,US,1599895746,65,35.23,-106.66,12.78,1.6
78,Mahon,20,ES,1599895747,83,39.89,4.27,23.0,4.1
79,Camalú,0,MX,1599895747,62,30.85,-116.07,22.17,2.01
80,Podosinovets,44,RU,1599895747,80,60.28,47.07,11.97,3.04
81,Qaanaaq,100,GL,1599895747,93,77.48,-69.36,-1.39,4.98
82,Geraldton,0,AU,1599895748,49,-28.77,114.6,20.0,9.3
83,Punta Arenas,76,CL,1599895254,86,-53.15,-70.92,3.0,2.6
84,Oodweyne,9,SO,1599895377,40,9.41,45.06,28.18,9.26
85,Bethel,40,US,1599895283,76,41.37,-73.41,13.0,2.1
86,Grindavik,74,IS,1599895337,81,63.84,-22.43,8.0,5.7
87,Chui,100,UY,1599895309,70,-33.7,-53.46,10.57,4.8
88,Zhigansk,98,RU,1599895749,88,66.77,123.37,10.23,0.75
89,Longyearbyen,75,SJ,1599895286,86,78.22,15.64,3.0,1.5
90,Knysna,82,ZA,1599895749,100,-34.04,23.05,16.0,1.5
91,Ancud,54,CL,1599895318,100,-41.87,-73.82,7.78,7.15
92,Jamestown,1,US,1599895277,93,42.1,-79.24,10.0,2.1
93,Miles City,1,US,1599895750,61,46.41,-105.84,10.0,2.6
94,Hvide Sande,100,DK,1599895611,79,56.0,8.13,15.56,2.24
95,Hilo,90,US,1599895303,69,19.73,-155.09,26.0,1.5
